"","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin","waterperc_se","density_se","barkthick_se","C_se","N_se","P_se","K_se","Ca_se","Fe_se","Mn_se","Zn_se","Arabinose_se","Galactose_se","Glucose_se","Mannose_se","Rhamnose_se","Xylose_se","Lignin_se","Binomial"
"1","ACPA","acpa","large",37.1399430085211,NA,NA,49.393,0.254583333333333,75.3256666666667,744.637666666667,3303.23933333333,23.9816666666667,4.676,3.58,0.783833333333333,1.303,47.756,1.831,0.414,17.2401666666667,24.5175,0.422098220636524,NA,NA,0.208471420903042,0.0149343098639044,29.6861994049611,78.1073161795858,651.825509634885,5.11533154133511,0.906942850092184,0.983067817260505,0.0604161494230732,0.235555372117329,0.536926981379531,0.0892389115427421,0.0167107749670684,0.266650884949674,0.576368588665274,"Acacia parramattensis"
"2","ALLI","alli","large",44.3993179375516,NA,NA,50.061,0.18033,44.6863333333333,775.932,4842.33533333333,35.5136666666667,59.5966666666667,36.0053333333333,1.18,1.17533333333333,44.6005,1.525,0.345166666666667,16.215,29.5645,0.572731051465931,NA,NA,0.0614356031412836,0.00584563369818306,11.9715433749278,270.358739801398,292.494751646552,2.84693884335048,14.7509870667845,8.44541566637059,0.0470540469389545,0.0505316182646513,0.376555883413514,0.143875814506817,0.0454700756297785,0.607664449621116,0.436946507023457,"Allocasuarina littoralis"
"3","ANBA","anba","large",63.534970375481,NA,NA,49.3576666666667,0.298433333333333,142.542,2281.40566666667,5311.014,54.835,104.601,28.524,1.10266666666667,1.73183333333333,42.5593333333333,0.7975,0.349166666666667,13.8345,31.37,0.303801559295206,NA,NA,0.249811484479353,0.0326848213157797,27.3931499709934,436.216819200549,993.841869887928,10.1423516668144,32.8629950095849,6.35715793417153,0.0555340236051538,0.101595740286906,0.528732315175753,0.0210732848254214,0.0066478902250597,0.0710146698459786,0.491489148744235,"Angophora bakeri"
"4","BAAE","baae","large",60.2618598061767,NA,NA,51.116,0.134983333333333,178.339333333333,1445.119,1393.73733333333,25.6366666666667,160.951,3.90533333333333,0.977333333333333,1.64466666666667,38.6351666666667,0.902,0.342166666666667,13.2636666666667,37.8713333333333,0.694468904375982,NA,NA,0.271245890905896,0.016949514578431,20.6419351832892,30.8594711609472,346.302820653318,4.34743147668189,42.4923561635894,0.659035237634866,0.0458415144213675,0.100177481390669,0.291913562168286,0.0418608807042247,0.0127060790350306,0.466699790491109,1.64169537199946,"Banksia aemula"
"5","EUSC","eusc","large",57.048619583043,NA,NA,50.5436666666667,0.190023333333333,62.7166666666667,821.613666666667,3726.573,7.72233333333333,230.413,9.45333333333333,0.847,2.0135,39.603,0.704666666666667,0.332666666666667,13.4558333333333,34.7711666666667,0.263867172654342,NA,NA,0.241009220662707,0.014298056200446,11.1119632278809,74.8771365467754,400.432373866466,2.03207876597122,11.163123681718,0.768045426897249,0.0347311099736245,0.0964835910055867,0.391302632242617,0.0586631154228201,0.00927511605198435,0.14299951437369,0.392620292960571,"Eucalyptus sclerophylla"
"6","EUTE","eute","large",48.5860945988348,NA,NA,52.2746666666667,0.233136666666667,102.675,131.892333333333,5099.43533333333,12.7616666666667,185.371,18.119,0.793833333333333,2.035,38.4338333333333,0.6735,0.407333333333333,11.1721666666667,38.803,0.415978809519858,NA,NA,0.623611078940856,0.0257174845408938,47.1273986975729,82.2106004769323,1208.38708976668,4.03663772354061,59.6320103412029,2.20585516296968,0.0737124669087786,0.320333550121328,1.10980543840401,0.066289139381953,0.0422870481878843,0.209908776482653,2.23141392021591,"Eucalyptus tereticornis"
"7","EXCU","excu","large",46.7327635647167,NA,NA,50.4176666666667,0.197326666666667,107.219,2112.49266666667,4083.153,12.2256666666667,66.5303333333333,6.61866666666667,1.30816666666667,2.2325,39.8425,1.91533333333333,0.500166666666667,16.0426666666667,29.0581666666667,0.758065510379543,NA,NA,0.338294907505929,0.0059502782381256,14.4275443625495,199.452782337352,347.789994446361,0.648322279254522,4.61737083679061,1.02375523333352,0.0301002953104746,0.0482217101867337,0.214419176692135,0.223681755576484,0.0165336357499224,0.478712712502093,0.74315147252166,"Exocarpos cupressiformis"
"8","JASC","jasc","large",42.3282928522459,NA,NA,51.86,0.58882,92.3443333333333,380.157,738.169666666667,53.7393333333333,192.647,9.05566666666667,1.68866666666667,1.35266666666667,42.4688333333333,1.57683333333333,0.383166666666667,14.152,32.3933333333333,0.490279958332292,NA,NA,0.362352038768929,0.0524091712711938,5.13861084773351,133.991929607719,110.072311587025,12.699184558248,47.346720206719,3.64002977704548,0.0124977775802117,0.0452413282052791,0.814738830000821,0.173226810216484,0.0296259083311288,0.264319409048977,0.608149675472888,"Jacksonia scoparia"
"9","LEPA","lepa","large",45.8402063097253,NA,NA,53.6,0.2481675,75.25725,216.13375,721.4775,63.44475,41.78025,4.147,1.08633333333333,1.62433333333333,30.9411666666667,1.70333333333333,0.272166666666667,12.2473333333333,47.0228333333333,0.966565487216791,NA,NA,0.275848086211716,0.00871360657726371,27.0478599257409,136.309299454326,142.253349069246,2.3994049739814,9.08390248713808,0.579431186595958,0.0635880841388105,0.105223703497728,2.03561400101078,0.282480136961482,0.0324298387976944,0.35592699782087,1.67971253327599,"Leptospermum parvifolium"
"10","MEDE","mede","large",49.3757784565733,NA,NA,52.305,0.36265,50.855,438.406,676.656333333333,31.1406666666667,57.2013333333333,4.012,0.751666666666667,1.95233333333333,44.3433333333333,1.53783333333333,0.220833333333333,10.44,37.2111666666667,0.49922180223627,NA,NA,0.29197773887747,0.00587608996981268,7.58172436410961,90.7620644762998,28.319782027959,6.19155579084216,6.24953012455959,1.46595679790822,0.0566173805273414,0.295897551715304,1.20128168821657,0.190388710566333,0.0267088208483847,0.673545160574503,0.882587782854739,"Melaleuca decora"
"11","PELI","peli","large",46.7683026501998,NA,NA,52.939,0.13981,92.7173333333333,309.534666666667,492.347666666667,43.5163333333333,56.4153333333333,19.331,1.34333333333333,1.22716666666667,34.4493333333333,1.9985,0.338666666666667,14.0303333333333,42.5351666666667,1.03149683222528,NA,NA,0.59766239076366,0.00366949587818273,20.056960623296,45.802906899502,67.5758291608603,7.44569563200407,3.3220542506775,2.93593840761916,0.0623647425322282,0.0522209515211833,1.5716667727112,0.0495841036354731,0.0110767524322088,0.449247549922213,1.82854369042081,"Persoonia linearis"
"12","PEPU","pepu","large",46.7896316101875,NA,NA,50.437,0.0828866666666667,69.3256666666667,466.361666666667,948.524666666667,46.6566666666667,40.029,93.096,0.8335,1.4845,45.1035,0.993333333333333,0.381666666666667,19.8691666666667,26.4276666666667,0.536189254820144,NA,NA,0.104885652021618,0.00517238930390116,48.7242336499793,60.5054348449606,117.998393161847,13.3350387117715,4.77055594244528,61.8921125750285,0.0570358074663043,0.0816368993368399,0.707678128341787,0.0465889233378255,0.0266869714363478,0.199401047584454,0.441477192062185,"Petrophile pulchella"
"13","acel","acel","small",32.7336267311847,0.558954202037217,2.05,51.1775,0.74868,7.182,651.4925,2806.772,2295.9395,45.1585,9.025,NA,NA,NA,NA,NA,NA,NA,1.33345031888782,0.00723830959201765,0.566303805390711,0.5425,0.0653,7.182,55.0515,441.111,230.2285,7.4125,1.21,NA,NA,NA,NA,NA,NA,NA,"Acacia elongata"
"14","acpa","acpa","small",37.2516022664735,0.699997916887211,1.68,50.68325,0.57537,69.14875,1666.80525,5266.82,3522.069,39.58025,16.18425,NA,NA,NA,NA,NA,NA,NA,0.0320702317048314,0.0188858837021953,0.367559518989782,0.585308234323307,0.0182495374370603,11.7854626155489,222.318077322926,1105.80139504419,748.766415479153,8.35571413639592,3.09681517517056,NA,NA,NA,NA,NA,NA,NA,"Acacia parramattensis"
"15","alli","alli","small",39.7334160419577,0.61880208463851,2.50333333333333,49.894,0.34506,256.087333333333,2928.115,7652.384,1942.10533333333,113.549333333333,13.817,NA,NA,NA,NA,NA,NA,NA,1.4286247525948,0.0330192808927133,0.462397135708161,0.157988396198372,0.0383955783044524,103.629328892827,786.340716527723,929.92038419659,372.835380735848,13.1707735198473,3.13899352234651,NA,NA,NA,NA,NA,NA,NA,"Allocasuarina littoralis"
"16","anba","anba","small",45.8582815034428,0.504743792791708,1.38,50.063,0.355005,98.9125,3214.2055,6730.3555,5951.617,168.8045,53.2995,NA,NA,NA,NA,NA,NA,NA,3.37919818538597,0.0209465497372222,0.322335229225724,0.228999999999999,0.029875,4.8455,505.5065,2879.3415,4698.203,42.1115,16.9455,NA,NA,NA,NA,NA,NA,NA,"Angophora bakeri"
"17","baae","baae","small",46.1068719712046,0.54102492789533,1.44,51.617,0.185493333333333,69.862,1775.52033333333,1947.907,1443.026,272.439,4.78033333333333,NA,NA,NA,NA,NA,NA,NA,0.997138627906943,0.0208264988273685,0.307462734869339,0.413135974387772,0.0387365040297191,50.9654872863326,154.886908782218,570.75373967325,479.426643064748,82.8689235137837,0.961527661819692,NA,NA,NA,NA,NA,NA,NA,"Banksia aemula"
"18","basp","basp","small",41.2038580917218,0.68399472396004,1.54333333333333,51.316,0.18218,95.894,1006.151,893.499,4932.894,189.631,5.359,NA,NA,NA,NA,NA,NA,NA,1.16143005902087,0.00903899515842056,0.300240644224669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Banksia spinulosa"
"19","cali","cali","small",40.9751903489837,0.698643410789742,3.29666666666667,50.82,0.12946,0,2011.128,1347.053,2024.275,32.084,5.258,NA,NA,NA,NA,NA,NA,NA,1.53572739762888,0.0259147249729316,0.0968389269755602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Callistemon linearis"
"20","cota","cota","small",28.4807550309914,0.677295679372569,1.62333333333333,50.518,0.25475,149.404,336.485,940.237,4755.687,73.073,71.377,NA,NA,NA,NA,NA,NA,NA,1.39651487668843,0.00709380118651657,0.299851815253987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Conospermum taxifolium"
"21","eusc","eusc","small",46.4586297127767,0.573270962131623,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633601043338062,0.0130029239932503,0.0793725393319376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus sclerophylla"
"22","eute","eute","small",56.1497986214264,0.525529820982465,1.90333333333333,50.4786666666667,0.441513333333333,226.056,1983.84233333333,5574.19733333333,1103.58166666667,533.916666666667,25.8533333333333,NA,NA,NA,NA,NA,NA,NA,1.34897583981619,0.0136235462858969,0.274853496329307,0.418834228676586,0.216697506548747,134.428720238645,178.497712438501,1673.21975820406,473.261563746143,353.334371654449,5.80634734100919,NA,NA,NA,NA,NA,NA,NA,"Eucalyptus tereticornis"
"23","excu","excu","small",45.3865597792794,0.638798687031621,2.12,50.5723333333333,0.349566666666667,182.119666666667,4634.28633333333,3380.377,794.839666666667,104.014333333333,16.317,NA,NA,NA,NA,NA,NA,NA,1.26868204115584,0.0142838438165638,0.771059876620054,0.713291509677339,0.0244250583986564,17.222304039949,1000.27235430162,253.767748294249,151.788860296502,5.99873923791028,2.65265382840154,NA,NA,NA,NA,NA,NA,NA,"Exocarpos cupressiformis"
"24","hase","hase","small",43.7206770347161,0.628892700153933,0.753333333333333,49.0395,0.114375,53.247,653.9155,1334.3055,1794.192,119.7765,12.4605,NA,NA,NA,NA,NA,NA,NA,1.27497601844216,0.00926385286012801,0.202182535788277,0.0785000000000018,0.009605,14.48,22.8065,125.5795,1260.586,1.4345,1.0435,NA,NA,NA,NA,NA,NA,NA,"Hakea sericea"
"25","isan","isan","small",38.6795761330863,0.679924097188155,0.923333333333333,49.588,0.06088,134.195,1257.07,1059.658,603.424,108.11,23.033,NA,NA,NA,NA,NA,NA,NA,2.22742966905767,0.015261128285685,0.296722841123573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isopogon anemonifolius"
"26","jasc","jasc","small",42.8858530347664,0.687523686012589,5.04666666666667,51.3883333333333,0.800916666666667,111.506333333333,1314.07033333333,914.968,4208.955,157.198666666667,17.6963333333333,NA,NA,NA,NA,NA,NA,NA,1.18937684766228,0.00929591068310287,0.935099519362036,0.256031465080194,0.0355717633024348,26.8507108803059,244.226642702588,237.32047588019,915.5940076677,50.0177509234916,6.13349716266702,NA,NA,NA,NA,NA,NA,NA,"Jacksonia scoparia"
"27","leer","leer","small",25.7616971791262,0.744893059504094,0.71,49.98,0.26946,47.484,1022.312,3803.806,4339.512,692.971,20.355,NA,NA,NA,NA,NA,NA,NA,0.774106502539624,0.0219982436336277,0.263122278291545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Leucopogon ericoides"
"28","lepa","lepa","small",38.5433602817106,0.681037969604482,2.95333333333333,50.992,0.34985,93.6193333333333,507.896666666667,2279.434,5631.934,158.038,9.39133333333333,NA,NA,NA,NA,NA,NA,NA,0.763185499116645,0.00826917149354382,0.478759972335941,1.50118564252837,0.0209455635716333,29.5604909596877,147.530407723666,301.254381705893,4401.36016577255,46.5888504079392,1.5286355935205,NA,NA,NA,NA,NA,NA,NA,"Leptospermum parvifolium"
"29","mede","mede","small",46.3907324212466,0.575611528219552,3.16333333333333,51.7343333333333,0.475813333333333,47.0183333333333,956.763333333333,3043.955,1560.93133333333,306.782666666667,28.025,NA,NA,NA,NA,NA,NA,NA,1.77140199008244,0.0229339450271163,0.283392150757764,0.425605581625888,0.0150824404892282,24.084753422953,169.85408200603,307.476432612864,917.506182114746,46.5398940563661,4.38645646659503,NA,NA,NA,NA,NA,NA,NA,"Melaleuca decora"
"30","olst","olst","small",39.7605590077862,0.637717591512792,0.883333333333334,47.673,0.23319,83.578,5014.116,2171.139,8589.504,134.944,40.831,NA,NA,NA,NA,NA,NA,NA,1.56372038207949,0.0106650517757963,0.246734224982627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Olax stricta"
"31","peli","peli","small",47.4931752391893,0.522862228845835,2.77,51.252,0.202046666666667,142.175333333333,619.626666666667,629.399,1878.773,115.323,21.4136666666667,NA,NA,NA,NA,NA,NA,NA,1.11243380629213,0.0255195728702734,0.461302503786832,0.123466594672406,0.0358816398423731,20.7138593565865,248.020665422819,93.8255662546195,876.847395240662,27.4185681853253,9.47204765495707,NA,NA,NA,NA,NA,NA,NA,"Persoonia linearis"
"32","penu","penu","small",45.5643247283277,0.592377297838106,1.3,48.732,0.14458,311.485,1489.605,584.422,7401.437,79.878,22.762,NA,NA,NA,NA,NA,NA,NA,1.0135953761688,0.0154900656314399,0.0251661147842359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Persoonia nutans"
"33","pepu","pepu","small",45.6591706354999,0.621526930477343,2.92666666666667,51.6833333333333,0.12436,60.1483333333333,275.893333333333,1198.484,2123.02133333333,68.3753333333333,65.849,NA,NA,NA,NA,NA,NA,NA,1.54233998077159,0.0257150624800364,0.41458144890694,0.955478297910412,0.00893864083627931,39.1962592021796,96.1861749895021,75.5371777691842,474.88540976827,5.76627876344682,52.2447392279835,NA,NA,NA,NA,NA,NA,NA,"Petrophile pulchella"
"34","ripi","ripi","small",50.4006436250079,0.44252585467781,1.15333333333333,49.998,0.40369,18.119,3287.2,6532.354,3218.096,162.635,21.241,NA,NA,NA,NA,NA,NA,NA,0.867298755577126,0.0147578066647237,0.678142888908951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ricinocarpos pinifolius"
