"","slice","community","respVar","n.asvs1","n.samples1","comp1.p","comp1.r2"
"1","C1","all","alpha",3297,33,"ns",0
"2","C1","all","beta",3297,33,"ns",0.02
"3","C1","all","w.r2",3297,33,"ns",0.01
"4","C1","all","w.t50",3297,33,"ns",0.03
"5","C1","basid","alpha",526,33,"ns",0.01
"6","C1","basid","beta",526,33,"ns",0.04
"7","C1","basid","w.r2",526,33,"ns",0
"8","C1","basid","w.t50",526,33,"ns",0.09
"9","C1","oo","alpha",9,9,"ns",0.17
"10","C1","oo","beta",9,9,"ns",0.32
"11","C1","oo","w.r2",9,9,"ns",0.07
"12","C1","oo","w.t50",9,9,"ns",0.34
"13","C1","patho","alpha",129,33,"ns",0.03
"14","C1","patho","beta",129,33,"ns",0.06
"15","C1","patho","w.r2",129,33,"ns",0
"16","C1","patho","w.t50",129,33,"ns",0.08
"17","C1","sapro","alpha",176,33,"ns",0
"18","C1","sapro","beta",176,33,"ns",0
"19","C1","sapro","w.r2",176,33,"ns",0.05
"20","C1","sapro","w.t50",176,33,"ns",0.02
"21","C2","all","alpha",1969,12,"ns",0.16
"22","C2","all","beta",1969,12,"ns",0.01
"23","C2","all","w.r2",1969,12,"ns",0.02
"24","C2","all","w.t50",1969,12,"ns",0.03
"25","C2","basid","alpha",287,12,"ns",0.02
"26","C2","basid","beta",287,12,"ns",0
"27","C2","basid","w.r2",287,12,"ns",0.11
"28","C2","basid","w.t50",287,12,"ns",0.01
"29","C2","oo","alpha",4,2,NA,NA
"30","C2","oo","beta",4,2,NA,NA
"31","C2","oo","w.r2",4,2,NA,NA
"32","C2","oo","w.t50",4,2,NA,NA
"33","C2","patho","alpha",72,12,"ns",0
"34","C2","patho","beta",72,12,"ns",0.23
"35","C2","patho","w.r2",72,12,"ns",0
"36","C2","patho","w.t50",72,12,"ns",0.22
"37","C2","sapro","alpha",95,12,"ns",0.04
"38","C2","sapro","beta",95,12,"ns",0.1
"39","C2","sapro","w.r2",95,12,"ns",0
"40","C2","sapro","w.t50",95,12,"ns",0.1
"41","S1","all","time13",2535,63,"ns",0.02
"42","S1","all","time25",2572,63,"ns",0.15
"43","S1","all","time37",2514,61,"ns",0.28
"44","S1","all","time59",2606,65,"ns",0
"45","S1","all","time7",2619,65,"ns",0.06
"46","S1","basid","time13",374,62,"ns",0
"47","S1","basid","time25",388,62,"ns",0.12
"48","S1","basid","time37",368,60,"ns",0.14
"49","S1","basid","time59",393,64,"ns",0.01
"50","S1","basid","time7",396,64,"ns",0
"51","S1","oo","time13",6,6,"ns",0.03
"52","S1","oo","time25",6,6,"ns",1
"53","S1","oo","time37",7,7,"ns",0.16
"54","S1","oo","time59",7,7,"ns",0.89
"55","S1","oo","time7",6,6,"ns",0.88
"56","S1","patho","time13",91,63,"ns",0
"57","S1","patho","time25",88,63,"ns",0.06
"58","S1","patho","time37",89,61,"ns",0.16
"59","S1","patho","time59",93,65,"ns",0.07
"60","S1","patho","time7",92,65,"ns",0.05
"61","S1","sapro","time13",125,63,"ns",0.05
"62","S1","sapro","time25",127,63,"ns",0.05
"63","S1","sapro","time37",123,61,"ns",0.07
"64","S1","sapro","time59",129,65,"ns",0.01
"65","S1","sapro","time7",131,65,"ns",0.01
"66","S2","all","time13",1916,35,"ns",0.02
"67","S2","all","time25",1925,34,"ns",0.31
"68","S2","all","time37",1910,34,"ns",0.25
"69","S2","all","time59",1947,36,"ns",0.12
"70","S2","all","time7",1969,37,"ns",0.15
"71","S2","basid","time13",273,34,"ns",0
"72","S2","basid","time25",281,33,"0.014",0.39
"73","S2","basid","time37",270,33,"ns",0.14
"74","S2","basid","time59",285,35,"ns",0.01
"75","S2","basid","time7",287,36,"ns",0
"76","S2","oo","time13",4,3,NA,NA
"77","S2","oo","time25",3,2,NA,NA
"78","S2","oo","time37",4,3,NA,NA
"79","S2","oo","time59",4,3,NA,NA
"80","S2","oo","time7",4,3,NA,NA
"81","S2","patho","time13",71,35,"ns",0.19
"82","S2","patho","time25",70,34,"ns",0.17
"83","S2","patho","time37",67,34,"ns",0.14
"84","S2","patho","time59",71,36,"0.043",0.33
"85","S2","patho","time7",72,37,"ns",0.02
"86","S2","sapro","time13",94,35,"ns",0.02
"87","S2","sapro","time25",94,34,"ns",0.1
"88","S2","sapro","time37",91,34,"ns",0.07
"89","S2","sapro","time59",92,36,"ns",0.08
"90","S2","sapro","time7",95,37,"ns",0
"91","C1_resid","all","alpha",3297,33,"ns",0.01
"92","C1_resid","all","beta",3297,33,"ns",0.01
"93","C1_resid","all","w.r2",3297,33,"ns",0.04
"94","C1_resid","all","w.t50",3297,33,"ns",0
"95","C1_resid","basid","alpha",526,33,"ns",0.02
"96","C1_resid","basid","beta",526,33,"ns",0
"97","C1_resid","basid","w.r2",526,33,"ns",0.04
"98","C1_resid","basid","w.t50",526,33,"ns",0
"99","C1_resid","oo","alpha",9,9,"ns",0.09
"100","C1_resid","oo","beta",9,9,"ns",0
"101","C1_resid","oo","w.r2",9,9,"ns",0.18
"102","C1_resid","oo","w.t50",9,9,"ns",0.33
"103","C1_resid","patho","alpha",129,33,"ns",0
"104","C1_resid","patho","beta",129,33,"ns",0.01
"105","C1_resid","patho","w.r2",129,33,"ns",0.02
"106","C1_resid","patho","w.t50",129,33,"ns",0
"107","C1_resid","sapro","alpha",176,33,"ns",0
"108","C1_resid","sapro","beta",176,33,"ns",0.06
"109","C1_resid","sapro","w.r2",176,33,"ns",0.03
"110","C1_resid","sapro","w.t50",176,33,"ns",0.04
"111","C2_resid","all","alpha",1969,12,"ns",0.01
"112","C2_resid","all","beta",1969,12,"ns",0.08
"113","C2_resid","all","w.r2",1969,12,"ns",0.2
"114","C2_resid","all","w.t50",1969,12,"ns",0.12
"115","C2_resid","basid","alpha",287,12,"ns",0.01
"116","C2_resid","basid","beta",287,12,"ns",0.02
"117","C2_resid","basid","w.r2",287,12,"ns",0.21
"118","C2_resid","basid","w.t50",287,12,"ns",0.02
"119","C2_resid","oo","alpha",4,2,NA,NA
"120","C2_resid","oo","beta",4,2,NA,NA
"121","C2_resid","oo","w.r2",4,2,NA,NA
"122","C2_resid","oo","w.t50",4,2,NA,NA
"123","C2_resid","patho","alpha",72,12,"ns",0.53
"124","C2_resid","patho","beta",72,12,"ns",0.01
"125","C2_resid","patho","w.r2",72,12,"ns",0.03
"126","C2_resid","patho","w.t50",72,12,"ns",0.01
"127","C2_resid","sapro","alpha",95,12,"ns",0.31
"128","C2_resid","sapro","beta",95,12,"ns",0.18
"129","C2_resid","sapro","w.r2",95,12,"ns",0.25
"130","C2_resid","sapro","w.t50",95,12,"ns",0.2
"131","S1_resid","all","time13",2535,63,"ns",0.03
"132","S1_resid","all","time25",2572,63,"ns",0
"133","S1_resid","all","time37",2514,61,"ns",0
"134","S1_resid","all","time59",2606,65,"ns",0
"135","S1_resid","all","time7",2619,65,"ns",0.04
"136","S1_resid","basid","time13",374,62,"ns",0.06
"137","S1_resid","basid","time25",388,62,"ns",0.07
"138","S1_resid","basid","time37",368,60,"ns",0.05
"139","S1_resid","basid","time59",393,64,"ns",0.02
"140","S1_resid","basid","time7",396,64,"ns",0.04
"141","S1_resid","oo","time13",6,6,"ns",0.07
"142","S1_resid","oo","time25",6,6,"ns",1
"143","S1_resid","oo","time37",7,7,"ns",0.01
"144","S1_resid","oo","time59",7,7,"ns",0.42
"145","S1_resid","oo","time7",6,6,"ns",0.95
"146","S1_resid","patho","time13",91,63,"ns",0
"147","S1_resid","patho","time25",88,63,"ns",0
"148","S1_resid","patho","time37",89,61,"ns",0.04
"149","S1_resid","patho","time59",93,65,"ns",0
"150","S1_resid","patho","time7",92,65,"ns",0
"151","S1_resid","sapro","time13",125,63,"ns",0.02
"152","S1_resid","sapro","time25",127,63,"ns",0
"153","S1_resid","sapro","time37",123,61,"ns",0.03
"154","S1_resid","sapro","time59",129,65,"ns",0.09
"155","S1_resid","sapro","time7",131,65,"ns",0.02
"156","S2_resid","all","time13",1916,35,"ns",0
"157","S2_resid","all","time25",1925,34,"ns",0.02
"158","S2_resid","all","time37",1910,34,"ns",0.07
"159","S2_resid","all","time59",1947,36,"ns",0.08
"160","S2_resid","all","time7",1969,37,"ns",0.12
"161","S2_resid","basid","time13",273,34,"ns",0
"162","S2_resid","basid","time25",281,33,"ns",0.06
"163","S2_resid","basid","time37",270,33,"ns",0.04
"164","S2_resid","basid","time59",285,35,"ns",0
"165","S2_resid","basid","time7",287,36,"ns",0
"166","S2_resid","oo","time13",4,3,NA,NA
"167","S2_resid","oo","time25",3,2,NA,NA
"168","S2_resid","oo","time37",4,3,NA,NA
"169","S2_resid","oo","time59",4,3,NA,NA
"170","S2_resid","oo","time7",4,3,NA,NA
"171","S2_resid","patho","time13",71,35,"ns",0.31
"172","S2_resid","patho","time25",70,34,"ns",0
"173","S2_resid","patho","time37",67,34,"ns",0.03
"174","S2_resid","patho","time59",71,36,"ns",0.17
"175","S2_resid","patho","time7",72,37,"ns",0.04
"176","S2_resid","sapro","time13",94,35,"ns",0.14
"177","S2_resid","sapro","time25",94,34,"ns",0.01
"178","S2_resid","sapro","time37",91,34,"ns",0.01
"179","S2_resid","sapro","time59",92,36,"ns",0.07
"180","S2_resid","sapro","time7",95,37,"ns",0.03
